xflr5 v6.61,,,,,,,,,,,
,,,,,,,,,,,
 Calculated polar for: dae31_85_dae41,,,,,,,,,,,
,,,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,,,
,,,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,,,
 Mach =   0.000     Re =     0.030 e 6     Ncrit =   9.000,,,,,,,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
0,-0.0384,0.0595,0.05077,-0.0675,1,0.2469,-1.2898,0,0,0,-1.524
0.5,0.038,0.05684,0.04684,-0.0761,1,0.2308,-1.2921,0,0,0,2.2631
1,0.093,0.05557,0.04499,-0.0792,1,0.2404,-1.2247,0,0,0,1.1028
1.5,0.1486,0.05561,0.0442,-0.0817,1,0.2645,-1.1662,0,0,0,0.7986
2,0.2013,0.05624,0.04443,-0.0833,1,0.3232,-1.0987,0,0,0,0.6613
2.5,0.2655,0.054427,0.04165,-0.08872,1,0.31705,-1.06187,0,0,0,1.53219
3,0.2901,0.05736,0.04569,-0.083,1,1,-0.985,0,0,0,0.5322
3.5,0.3224,0.06069,0.04843,-0.0835,1,1,-0.8265,0,0,0,0.504
4,0.3533,0.06426,0.05158,-0.084,1,1,-0.6705,0,0,0,0.4822
4.5,0.3829,0.06807,0.05509,-0.0847,1,1,-0.6311,0,0,0,0.4649
5,0.4113,0.07214,0.05892,-0.0855,1,1,-0.6526,0,0,0,0.4509
5.5,0.4386,0.07646,0.06308,-0.0864,1,1,-0.6741,0,0,0,0.4395
6,0.4785,0.08228,0.06877,-0.0902,0.9913,1,-0.706,0,0,0,0.4303
6.5,0.5432,0.09075,0.07715,-0.0987,0.9547,1,-0.7597,0,0,0,0.4229
7,0.5842,0.09704,0.08346,-0.1028,0.92,1,-0.7961,0,0,0,0.4166
7.5,0.6329,0.10478,0.09124,-0.1077,0.8865,1,-0.8437,0,0,0,0.4102
8,0.6526,0.10924,0.09581,-0.1082,0.856,1,-0.865,0,0,0,0.4053
8.5,0.6926,0.11666,0.10332,-0.1117,0.8267,1,-0.9098,0,0,0,0.4002
9,0.7293,0.12479,0.11157,-0.1148,0.8015,1,-0.9526,0,0,0,0.3957
9.5,0.7413,0.1291,0.11604,-0.1147,0.7759,1,-0.9681,0,0,0,0.3925
10,0.7642,0.13497,0.12208,-0.1162,0.7483,1,-0.9972,0,0,0,0.3891
